# Problems with tickers (generated by 03_prepare_for_minervini_V2.py)
# Generated: 2026-02-28 20:46:31

No cache data: yahoo=AAPL, trading212=AAPL
No cache data: yahoo=MSFT, trading212=MSFT
No cache data: yahoo=NVDA, trading212=NVDA
No cache data: yahoo=AMD, trading212=AMD
No cache data: yahoo=TSLA, trading212=TSLA
No cache data: yahoo=INTC, trading212=INTC
No cache data: yahoo=GDS, trading212=GDS
No cache data: yahoo=QBTS, trading212=QBTS
No cache data: yahoo=IONQ, trading212=IONQ
No cache data: yahoo=RGTI, trading212=RGTI
No cache data: yahoo=QUBT, trading212=QUBT
No cache data: yahoo=PFE, trading212=PFE
No cache data: yahoo=JNJ, trading212=JNJ
No cache data: yahoo=MRK, trading212=MRK
No cache data: yahoo=ABBV, trading212=ABBV
No cache data: yahoo=BMY, trading212=BMY
No cache data: yahoo=LLY, trading212=LLY
No cache data: yahoo=GILD, trading212=GILD
No cache data: yahoo=AMGN, trading212=AMGN
No cache data: yahoo=REGN, trading212=REGN
No cache data: yahoo=VRTX, trading212=VRTX
No cache data: yahoo=BIIB, trading212=BIIB
No cache data: yahoo=TEVA, trading212=TEVA
No cache data: yahoo=ZTS, trading212=ZTS
No cache data: yahoo=ALKS, trading212=ALKS
No cache data: yahoo=IONS, trading212=IONS
No cache data: yahoo=INCY, trading212=INCY
No cache data: yahoo=RHM.DE, trading212=(none)
No cache data: yahoo=HAG.DE, trading212=(none)
No cache data: yahoo=HO.PA, trading212=(none)
No cache data: yahoo=SAF.PA, trading212=(none)
No cache data: yahoo=AM.PA, trading212=(none)
No cache data: yahoo=BA.L, trading212=(none)
No cache data: yahoo=RR.L, trading212=(none)
No cache data: yahoo=QQ.L, trading212=(none)
No cache data: yahoo=LDO.MI, trading212=(none)
No cache data: yahoo=IDR.MC, trading212=(none)
No cache data: yahoo=SAAB-B.ST, trading212=(none)
No cache data: yahoo=AIR.AS, trading212=(none)
No cache data: yahoo=KOG.OL, trading212=(none)
No cache data: yahoo=SAP.DE, trading212=(none)
No cache data: yahoo=ASML.AS, trading212=(none)
No cache data: yahoo=ADYEN.AS, trading212=(none)
No cache data: yahoo=CAP.PA, trading212=(none)
No cache data: yahoo=SGE.L, trading212=(none)
No cache data: yahoo=ERIC-B.ST, trading212=(none)
No cache data: yahoo=DBK.DE, trading212=(none)
No cache data: yahoo=CBK.DE, trading212=(none)
No cache data: yahoo=BNP.PA, trading212=(none)
No cache data: yahoo=GLE.PA, trading212=(none)
No cache data: yahoo=HSBA.L, trading212=(none)
No cache data: yahoo=LLOY.L, trading212=(none)
No cache data: yahoo=BARC.L, trading212=(none)
No cache data: yahoo=SAN.MC, trading212=(none)
No cache data: yahoo=BBVA.MC, trading212=(none)
No cache data: yahoo=ISP.MI, trading212=(none)
No cache data: yahoo=UCG.MI, trading212=(none)
No cache data: yahoo=INGA.AS, trading212=(none)
No cache data: yahoo=UBSG.SW, trading212=(none)
No cache data: yahoo=VOW3.DE, trading212=(none)
No cache data: yahoo=BMW.DE, trading212=(none)
No cache data: yahoo=RNO.PA, trading212=(none)
No cache data: yahoo=PEUG.PA, trading212=(none)
No cache data: yahoo=STLA, trading212=(none)
No cache data: yahoo=VOLV-B.ST, trading212=(none)
No cache data: yahoo=BP.L, trading212=(none)
No cache data: yahoo=SHEL.L, trading212=(none)
No cache data: yahoo=TTE.PA, trading212=(none)
No cache data: yahoo=ENI.MI, trading212=(none)
No cache data: yahoo=REP.MC, trading212=(none)
No cache data: yahoo=EQNR.OL, trading212=(none)
No cache data: yahoo=NOVN.SW, trading212=(none)
No cache data: yahoo=ROG.SW, trading212=(none)
No cache data: yahoo=GSK.L, trading212=(none)
No cache data: yahoo=GS71.DE, trading212=GS71
No cache data: yahoo=WTAI, trading212=WTAI
No cache data: yahoo=AZN.L, trading212=(none)
No cache data: yahoo=HIK.L, trading212=(none)
No cache data: yahoo=SAN.PA, trading212=(none)
No cache data: yahoo=IPS.PA, trading212=(none)
No cache data: yahoo=BAYN.DE, trading212=(none)
No cache data: yahoo=MRK.DE, trading212=(none)
No cache data: yahoo=FRE.DE, trading212=(none)
No cache data: yahoo=EVT.DE, trading212=(none)
No cache data: yahoo=NOVO-B.CO, trading212=(none)
No cache data: yahoo=LUN.TO, trading212=(none)
No cache data: yahoo=UCB.BR, trading212=(none)
No cache data: yahoo=PHIA.AS, trading212=(none)
No cache data: yahoo=PHG, trading212=(none)
No cache data: yahoo=GETI-B.ST, trading212=(none)
No cache data: yahoo=REC.MI, trading212=(none)
No cache data: yahoo=DIA.MI, trading212=(none)
No cache data: yahoo=GRF.MC, trading212=(none)
No cache data: yahoo=FAE.MC, trading212=(none)
No cache data: yahoo=PZU.WA, trading212=(none)
No cache data: yahoo=EVN.VI, trading212=(none)
No cache data: yahoo=MC.PA, trading212=(none)
No cache data: yahoo=KER.PA, trading212=(none)
No cache data: yahoo=CFR.SW, trading212=(none)
No cache data: yahoo=DGE.L, trading212=(none)
No cache data: yahoo=ULVR.L, trading212=(none)
No cache data: yahoo=ADS.DE, trading212=(none)
No cache data: yahoo=PRY.MI, trading212=(none)
No cache data: yahoo=SIEGY, trading212=SIEGY
No cache data: yahoo=SIE.DE, trading212=(none)
No cache data: yahoo=SMIN.L, trading212=(none)
No cache data: yahoo=ATCO-A.ST, trading212=(none)
No cache data: yahoo=ATCO-B.ST, trading212=(none)
No cache data: yahoo=VOD.L, trading212=(none)
No cache data: yahoo=BT-A.L, trading212=(none)
No cache data: yahoo=DTE.DE, trading212=(none)
No cache data: yahoo=TEF.MC, trading212=(none)
No cache data: yahoo=KPN.AS, trading212=(none)
No cache data: yahoo=EOAN.DE, trading212=(none)
No cache data: yahoo=ENGI.PA, trading212=(none)
No cache data: yahoo=NG.L, trading212=(none)
No cache data: yahoo=IBE.MC, trading212=(none)
No cache data: yahoo=ENEL.MI, trading212=(none)
No cache data: yahoo=RIO.L, trading212=(none)
No cache data: yahoo=GLEN.L, trading212=(none)
No cache data: yahoo=LONN.SW, trading212=(none)
No cache data: yahoo=BAS.DE, trading212=(none)
No cache data: yahoo=LAND.L, trading212=(none)
No cache data: yahoo=VNA.DE, trading212=(none)
No cache data: yahoo=NESN.SW, trading212=(none)
No cache data: yahoo=TSCO.L, trading212=(none)
No cache data: yahoo=DANOY, trading212=DANOY
No cache data: yahoo=HEIA.AS, trading212=(none)
No cache data: yahoo=NXT.L, trading212=(none)
No cache data: yahoo=ZAL.DE, trading212=(none)
No cache data: yahoo=CA.PA, trading212=(none)
No cache data: yahoo=ADBE, trading212=ADBE
No cache data: yahoo=AMZN, trading212=AMZN
No cache data: yahoo=AVGO, trading212=AVGO
No cache data: yahoo=AXP, trading212=AXP
No cache data: yahoo=BA, trading212=BA
No cache data: yahoo=BKNG, trading212=BKNG
No cache data: yahoo=CAT, trading212=CAT
No cache data: yahoo=COST, trading212=COST
No cache data: yahoo=CRM, trading212=CRM
No cache data: yahoo=CRWD, trading212=CRWD
No cache data: yahoo=DE, trading212=DE
No cache data: yahoo=GE, trading212=GE
No cache data: yahoo=GOOG, trading212=GOOG
No cache data: yahoo=GOOGL, trading212=GOOGL
No cache data: yahoo=HD, trading212=HD
No cache data: yahoo=HON, trading212=HON
No cache data: yahoo=INTU, trading212=INTU
No cache data: yahoo=ISRG, trading212=ISRG
No cache data: yahoo=JPM, trading212=JPM
No cache data: yahoo=LOW, trading212=LOW
No cache data: yahoo=MA, trading212=MA
No cache data: yahoo=META, trading212=META
No cache data: yahoo=MMM, trading212=MMM
No cache data: yahoo=NFLX, trading212=NFLX
No cache data: yahoo=NOW, trading212=NOW
No cache data: yahoo=ORCL, trading212=ORCL
No cache data: yahoo=PEP, trading212=PEP
No cache data: yahoo=PLTR, trading212=PLTR
No cache data: yahoo=QCOM, trading212=QCOM
No cache data: yahoo=RTX, trading212=RTX
No cache data: yahoo=SBUX, trading212=SBUX
No cache data: yahoo=SNOW, trading212=SNOW
No cache data: yahoo=TMO, trading212=TMO
No cache data: yahoo=V, trading212=V
No cache data: yahoo=XOM, trading212=XOM
No cache data: yahoo=BAC, trading212=BAC
No cache data: yahoo=BK, trading212=BK
No cache data: yahoo=BLK, trading212=BLK
No cache data: yahoo=BMO, trading212=BMO
No cache data: yahoo=BNS, trading212=BNS
No cache data: yahoo=C, trading212=C
No cache data: yahoo=CFG, trading212=CFG
No cache data: yahoo=CMCSA, trading212=CMCSA
No cache data: yahoo=COF, trading212=COF
No cache data: yahoo=CSCO, trading212=CSCO
No cache data: yahoo=DDOG, trading212=DDOG
No cache data: yahoo=DELL, trading212=DELL
No cache data: yahoo=DHI, trading212=DHI
No cache data: yahoo=DIS, trading212=DIS
No cache data: yahoo=DOCN, trading212=DOCN
No cache data: yahoo=ESTC, trading212=ESTC
No cache data: yahoo=FITB, trading212=FITB
No cache data: yahoo=FTNT, trading212=FTNT
No cache data: yahoo=GS, trading212=GS
No cache data: yahoo=HBAN, trading212=HBAN
No cache data: yahoo=HPE, trading212=HPE
No cache data: yahoo=HPQ, trading212=HPQ
No cache data: yahoo=IBM, trading212=IBM
No cache data: yahoo=KBH, trading212=KBH
No cache data: yahoo=KEY, trading212=KEY
No cache data: yahoo=KO, trading212=KO
No cache data: yahoo=LEN, trading212=LEN
No cache data: yahoo=MCD, trading212=MCD
No cache data: yahoo=MDB, trading212=MDB
No cache data: yahoo=MS, trading212=MS
No cache data: yahoo=MTB, trading212=MTB
No cache data: yahoo=NET, trading212=NET
No cache data: yahoo=NKE, trading212=NKE
No cache data: yahoo=NTRS, trading212=NTRS
No cache data: yahoo=NVR, trading212=NVR
No cache data: yahoo=OKTA, trading212=OKTA
No cache data: yahoo=PANW, trading212=PANW
No cache data: yahoo=PG, trading212=PG
No cache data: yahoo=PHM, trading212=PHM
No cache data: yahoo=PNC, trading212=PNC
No cache data: yahoo=ROST, trading212=ROST
No cache data: yahoo=RY, trading212=RY
No cache data: yahoo=SCHW, trading212=SCHW
No cache data: yahoo=STT, trading212=STT
No cache data: yahoo=T, trading212=T
No cache data: yahoo=TD, trading212=TD
No cache data: yahoo=TFC, trading212=TFC
No cache data: yahoo=TGT, trading212=TGT
No cache data: yahoo=TJX, trading212=TJX
No cache data: yahoo=TOL, trading212=TOL
No cache data: yahoo=UNH, trading212=UNH
No cache data: yahoo=USB, trading212=USB
No cache data: yahoo=VZ, trading212=VZ
No cache data: yahoo=WFC, trading212=WFC
No cache data: yahoo=WMT, trading212=WMT
No cache data: yahoo=ZION, trading212=ZION
No cache data: yahoo=ZS, trading212=ZS
No cache data: yahoo=ANET, trading212=ANET
No cache data: yahoo=APP, trading212=APP
No cache data: yahoo=CDNS, trading212=CDNS
No cache data: yahoo=CHKP, trading212=CHKP
No cache data: yahoo=CTSH, trading212=CTSH
No cache data: yahoo=DOCU, trading212=DOCU
No cache data: yahoo=FRSH, trading212=FRSH
No cache data: yahoo=GTLB, trading212=GTLB
No cache data: yahoo=HUBS, trading212=HUBS
No cache data: yahoo=QLYS, trading212=QLYS
No cache data: yahoo=RPD, trading212=RPD
No cache data: yahoo=TEAM, trading212=TEAM
No cache data: yahoo=TENB, trading212=TENB
No cache data: yahoo=VEEV, trading212=VEEV
No cache data: yahoo=WDAY, trading212=WDAY
No cache data: yahoo=ZM, trading212=ZM
No cache data: yahoo=AMAT, trading212=AMAT
No cache data: yahoo=ASML, trading212=ASML
No cache data: yahoo=LRCX, trading212=LRCX
No cache data: yahoo=KLAC, trading212=KLAC
No cache data: yahoo=MCHP, trading212=MCHP
No cache data: yahoo=MPWR, trading212=MPWR
No cache data: yahoo=MRVL, trading212=MRVL
No cache data: yahoo=NXPI, trading212=NXPI
No cache data: yahoo=ON, trading212=ON
No cache data: yahoo=QRVO, trading212=QRVO
No cache data: yahoo=SWKS, trading212=SWKS
No cache data: yahoo=TXN, trading212=TXN
No cache data: yahoo=WOLF, trading212=WOLF
No cache data: yahoo=ADSK, trading212=ADSK
No cache data: yahoo=FROG, trading212=FROG
No cache data: yahoo=EBAY, trading212=EBAY
No cache data: yahoo=ETSY, trading212=ETSY
No cache data: yahoo=MELI, trading212=MELI
No cache data: yahoo=SHOP, trading212=SHOP
No cache data: yahoo=BBY, trading212=BBY
No cache data: yahoo=DKS, trading212=DKS
No cache data: yahoo=ULTA, trading212=ULTA
No cache data: yahoo=ALLY, trading212=ALLY
No cache data: yahoo=BEN, trading212=BEN
No cache data: yahoo=CBOE, trading212=CBOE
No cache data: yahoo=CME, trading212=CME
No cache data: yahoo=COIN, trading212=COIN
No cache data: yahoo=FDS, trading212=FDS
No cache data: yahoo=FIS, trading212=FIS
No cache data: yahoo=FISV, trading212=FISV
No cache data: yahoo=ICE, trading212=ICE
No cache data: yahoo=IVZ, trading212=IVZ
No cache data: yahoo=NDAQ, trading212=NDAQ
No cache data: yahoo=TROW, trading212=TROW
No cache data: yahoo=ALNY, trading212=ALNY
No cache data: yahoo=BMRN, trading212=BMRN
No cache data: yahoo=EXAS, trading212=EXAS
No cache data: yahoo=FOLD, trading212=FOLD
No cache data: yahoo=HALO, trading212=HALO
No cache data: yahoo=ILMN, trading212=ILMN
No cache data: yahoo=MRNA, trading212=MRNA
No cache data: yahoo=NBIX, trading212=NBIX
No cache data: yahoo=NVAX, trading212=NVAX
No cache data: yahoo=SGMO, trading212=SGMO
No cache data: yahoo=TECH, trading212=TECH
No cache data: yahoo=XBI, trading212=XBI
No cache data: yahoo=CI, trading212=CI
No cache data: yahoo=CNC, trading212=CNC
No cache data: yahoo=CVS, trading212=CVS
No cache data: yahoo=HCA, trading212=HCA
No cache data: yahoo=HUM, trading212=HUM
No cache data: yahoo=MOH, trading212=MOH
No cache data: yahoo=TDOC, trading212=TDOC
No cache data: yahoo=ABT, trading212=ABT
No cache data: yahoo=ALGN, trading212=ALGN
No cache data: yahoo=BAX, trading212=BAX
No cache data: yahoo=BDX, trading212=BDX
No cache data: yahoo=BSX, trading212=BSX
No cache data: yahoo=DHR, trading212=DHR
No cache data: yahoo=EW, trading212=EW
No cache data: yahoo=HOLX, trading212=HOLX
No cache data: yahoo=MDT, trading212=MDT
No cache data: yahoo=RMD, trading212=RMD
No cache data: yahoo=SYK, trading212=SYK
No cache data: yahoo=ZBH, trading212=ZBH
No cache data: yahoo=CMG, trading212=CMG
No cache data: yahoo=DRI, trading212=DRI
No cache data: yahoo=YUM, trading212=YUM
No cache data: yahoo=AS, trading212=AS
No cache data: yahoo=CL, trading212=CL
No cache data: yahoo=CLX, trading212=CLX
No cache data: yahoo=EL, trading212=EL
No cache data: yahoo=GIS, trading212=GIS
No cache data: yahoo=HRL, trading212=HRL
No cache data: yahoo=KMB, trading212=KMB
No cache data: yahoo=MDLZ, trading212=MDLZ
No cache data: yahoo=SJM, trading212=SJM
No cache data: yahoo=STZ, trading212=STZ
No cache data: yahoo=TAP, trading212=TAP
No cache data: yahoo=AOS, trading212=AOS
No cache data: yahoo=CHRW, trading212=CHRW
No cache data: yahoo=CMI, trading212=CMI
No cache data: yahoo=CSX, trading212=CSX
No cache data: yahoo=DOV, trading212=DOV
No cache data: yahoo=EMR, trading212=EMR
No cache data: yahoo=ETN, trading212=ETN
No cache data: yahoo=FAST, trading212=FAST
No cache data: yahoo=GNRC, trading212=GNRC
No cache data: yahoo=IR, trading212=IR
No cache data: yahoo=ITW, trading212=ITW
No cache data: yahoo=JCI, trading212=JCI
No cache data: yahoo=LMT, trading212=LMT
No cache data: yahoo=NDSN, trading212=NDSN
No cache data: yahoo=PH, trading212=PH
No cache data: yahoo=PNR, trading212=PNR
No cache data: yahoo=ROK, trading212=ROK
No cache data: yahoo=SWK, trading212=SWK
No cache data: yahoo=TTC, trading212=TTC
No cache data: yahoo=UNP, trading212=UNP
No cache data: yahoo=WWD, trading212=WWD
No cache data: yahoo=COP, trading212=COP
No cache data: yahoo=CVX, trading212=CVX
No cache data: yahoo=DVN, trading212=DVN
No cache data: yahoo=EOG, trading212=EOG
No cache data: yahoo=FANG, trading212=FANG
No cache data: yahoo=HAL, trading212=HAL
No cache data: yahoo=HESM, trading212=HES
No cache data: yahoo=MPC, trading212=MPC
No cache data: yahoo=OXY, trading212=OXY
No cache data: yahoo=SLB, trading212=SLB
No cache data: yahoo=VLO, trading212=VLO
No cache data: yahoo=APD, trading212=APD
No cache data: yahoo=CF, trading212=CF
No cache data: yahoo=DD, trading212=DD
No cache data: yahoo=ECL, trading212=ECL
No cache data: yahoo=FCX, trading212=FCX
No cache data: yahoo=LIN, trading212=LIN
No cache data: yahoo=LYB, trading212=LYB
No cache data: yahoo=NEM, trading212=NEM
No cache data: yahoo=PPG, trading212=PPG
No cache data: yahoo=SHW, trading212=SHW
No cache data: yahoo=VMC, trading212=VMC
No cache data: yahoo=WLK, trading212=WLK
No cache data: yahoo=AMT, trading212=AMT
No cache data: yahoo=AVB, trading212=AVB
No cache data: yahoo=BXP, trading212=BXP
No cache data: yahoo=CBRE, trading212=CBRE
No cache data: yahoo=EQIX, trading212=EQIX
No cache data: yahoo=EXPI, trading212=EXPI
No cache data: yahoo=PLD, trading212=PLD
No cache data: yahoo=PSA, trading212=PSA
No cache data: yahoo=SPG, trading212=SPG
No cache data: yahoo=WELL, trading212=WELL
No cache data: yahoo=TMUS, trading212=TMUS
No cache data: yahoo=AEP, trading212=AEP
No cache data: yahoo=AWK, trading212=AWK
No cache data: yahoo=DUK, trading212=DUK
No cache data: yahoo=ED, trading212=ED
No cache data: yahoo=ES, trading212=ES
No cache data: yahoo=EXC, trading212=EXC
No cache data: yahoo=NEE, trading212=NEE
No cache data: yahoo=SO, trading212=SO
No cache data: yahoo=SRE, trading212=SRE
No cache data: yahoo=WEC, trading212=WEC
No cache data: yahoo=XEL, trading212=XEL
No cache data: yahoo=GD, trading212=GD
No cache data: yahoo=HWM, trading212=HWM
No cache data: yahoo=NOC, trading212=NOC
No cache data: yahoo=TXT, trading212=TXT
No cache data: yahoo=BEI.DE, trading212=(none)
No cache data: yahoo=INFY, trading212=INFY
No cache data: yahoo=WIT, trading212=WIT
No cache data: yahoo=KGF.L, trading212=(none)
No cache data: yahoo=ATO.PA, trading212=(none)
No cache data: yahoo=LOGN.SW, trading212=(none)
No cache data: yahoo=ALV.DE, trading212=(none)
No cache data: yahoo=MUV2.DE, trading212=(none)
No cache data: yahoo=ANTO.L, trading212=(none)
No cache data: yahoo=AV.L, trading212=(none)
No cache data: yahoo=BNZL.L, trading212=(none)
No cache data: yahoo=CPG.L, trading212=(none)
No cache data: yahoo=CNP, trading212=(none)
No cache data: yahoo=CABK.MC, trading212=(none)
No cache data: yahoo=BPER, trading212=(none)
No cache data: yahoo=AEG.AS, trading212=(none)
No cache data: yahoo=ZURN.SW, trading212=(none)
No cache data: yahoo=CON.DE, trading212=(none)
No cache data: yahoo=SCA-B.ST, trading212=(none)
No cache data: yahoo=BTG.L, trading212=(none)
No cache data: yahoo=FME.DE, trading212=(none)
No cache data: yahoo=DBV.PA, trading212=(none)
No cache data: yahoo=GN.CO, trading212=(none)
No cache data: yahoo=ALC.SW, trading212=(none)
No cache data: yahoo=GIVN.SW, trading212=(none)
No cache data: yahoo=ABF.L, trading212=(none)
No cache data: yahoo=BRBY.L, trading212=(none)
No cache data: yahoo=JD.L, trading212=(none)
No cache data: yahoo=RCO.PA, trading212=(none)
No cache data: yahoo=HEN3.DE, trading212=(none)
No cache data: yahoo=RWE.DE, trading212=RWED
No cache data: yahoo=IMI.L, trading212=(none)
No cache data: yahoo=SU.PA, trading212=(none)
No cache data: yahoo=ALFA.ST, trading212=(none)
No cache data: yahoo=BABA, trading212=BABA
No cache data: yahoo=BIDU, trading212=BIDU
No cache data: yahoo=JD, trading212=JD
No cache data: yahoo=NIO, trading212=NIO
No cache data: yahoo=PDD, trading212=PDD
No cache data: yahoo=TME, trading212=TME
No cache data: yahoo=TSM, trading212=TSM
