type,yahoo_symbol,trading212_symbol,benchmark_index,currency,sector,sub_industry,region,size,source,enabled
ticker,AAPL,AAPL,^GSPC,,Information Technology,"Technology Hardware, Storage & Peripherals",US,Mega/Large,LargeCap,Y
ticker,MSFT,MSFT,^GSPC,,Information Technology,Systems Software,US,Mega/Large,LargeCap,Y
ticker,NVDA,NVDA,^GSPC,,Information Technology,Semiconductors,US,Mega/Large,LargeCap,Y
ticker,AMD,AMD,^GSPC,,Information Technology,Semiconductors,US,Mega/Large,LargeCap,Y
ticker,TSLA,TSLA,^GSPC,,Consumer Discretionary,Automobile Manufacturers,US,Mega/Large,LargeCap,Y
ticker,INTC,INTC,^GSPC,,Information Technology,Semiconductors,US,Mega/Large,LargeCap,Y
ticker,GDS,GDS,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,QBTS,QBTS,^GSPC,,,,US,Mega/Large,LargeCap,Y
ticker,IONQ,IONQ,^GSPC,,,,US,Mega/Large,LargeCap,Y
ticker,RGTI,RGTI,^GSPC,,,,US,Mega/Large,LargeCap,Y
ticker,QUBT,QUBT,^GSPC,,,,US,Mega/Large,LargeCap,Y
ticker,PFE,PFE,^GSPC,,Health Care,Pharmaceuticals,US,Mega/Large,LargeCap,Y
ticker,JNJ,JNJ,^GSPC,,Health Care,Pharmaceuticals,US,Mega/Large,LargeCap,Y
ticker,MRK,MRK,^GSPC,,Health Care,Pharmaceuticals,US,Mega/Large,LargeCap,Y
ticker,ABBV,ABBV,^GSPC,,Health Care,Biotechnology,US,Large,Dividend,Y
ticker,BMY,BMY,^GSPC,,Health Care,Pharmaceuticals,US,Mega/Large,LargeCap,Y
ticker,LLY,LLY,^GSPC,,Health Care,Pharmaceuticals,US,Mega/Large,LargeCap,Y
ticker,GILD,GILD,^GSPC,,Health Care,Biotechnology,US,Mega/Large,LargeCap,Y
ticker,AMGN,AMGN,^GSPC,,Health Care,Biotechnology,US,Mega/Large,LargeCap,Y
ticker,REGN,REGN,^GSPC,,Health Care,Biotechnology,US,Mega/Large,LargeCap,Y
ticker,VRTX,VRTX,^GSPC,,Health Care,Biotechnology,US,Mega/Large,LargeCap,Y
ticker,BIIB,BIIB,^GSPC,,Health Care,Biotechnology,US,Mega/Large,LargeCap,Y
ticker,TEVA,TEVA,^GSPC,,Health Care,,US,Mega/Large,LargeCap,Y
ticker,ZTS,ZTS,^GSPC,,Health Care,Pharmaceuticals,US,Mega/Large,LargeCap,Y
ticker,ALKS,ALKS,^GSPC,,Health Care,Pharmaceuticals,US,Mega/Large,LargeCap,Y
ticker,IONS,IONS,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,INCY,INCY,^GSPC,,Health Care,Biotechnology,US,Mega/Large,LargeCap,Y
ticker,RHM.DE,,^GDAXI,,Industrials,,Europe,Mega/Large,LargeCap,Y
ticker,HAG.DE,,^GDAXI,,Industrials,,Europe,Mega/Large,LargeCap,Y
ticker,HO.PA,,^FCHI,,Industrials,,Europe,Mega/Large,LargeCap,Y
